order_id,store_id,ts,loyalty_id,items,basket_value
1,1101,2025-08-01T14:08:00,1383,COFFEE;SALMON,9.45
2,1101,2025-08-01T16:10:00,2213,MEATBALLS,12.19
3,1101,2025-08-01T10:42:00,4992,COFFEE;VEG_BALLS,9.68
4,1101,2025-08-01T18:13:00,2506,MEATBALLS;SALMON,13.88
5,1101,2025-08-01T16:16:00,2698,MEATBALLS,24.01
6,1101,2025-08-01T16:30:00,4126,SALMON;VEG_BALLS,22.14
7,1101,2025-08-01T14:45:00,473,VEG_BALLS;MEATBALLS,7.68
8,1101,2025-08-01T15:04:00,4329,CINNAMON_BUN,16.01
9,1101,2025-08-01T14:33:00,1729,CINNAMON_BUN;COFFEE;MEATBALLS,18.46
10,1101,2025-08-01T15:52:00,5916,SALMON,32.39
11,1101,2025-08-01T10:49:00,733,MEATBALLS;COFFEE;CINNAMON_BUN,20.36
12,1101,2025-08-01T15:35:00,32,CINNAMON_BUN,27.74
13,1101,2025-08-01T14:14:00,2770,CINNAMON_BUN,11.13
14,1101,2025-08-01T19:57:00,3207,VEG_BALLS,26.21
15,1101,2025-08-01T10:28:00,2889,VEG_BALLS,22.69
16,1101,2025-08-01T16:55:00,1192,VEG_BALLS,19.19
17,1101,2025-08-01T10:42:00,1985,MEATBALLS,34.13
18,1101,2025-08-01T18:44:00,5827,COFFEE,30.51
19,1101,2025-08-01T15:47:00,3295,CINNAMON_BUN,34.18
20,1101,2025-08-01T17:49:00,3322,VEG_BALLS,12.51
21,1101,2025-08-01T13:29:00,879,KIDS,32.22
22,1101,2025-08-01T15:48:00,2705,COFFEE,9.14
23,1101,2025-08-01T17:03:00,1961,CINNAMON_BUN;SALMON,26.66
24,1101,2025-08-01T18:30:00,2998,MEATBALLS,24.91
25,1101,2025-08-01T16:53:00,5122,SALMON,18.14
26,1101,2025-08-01T16:58:00,3526,VEG_BALLS,24.12
27,1101,2025-08-01T11:44:00,5552,KIDS,23.58
28,1101,2025-08-01T19:19:00,3553,COFFEE,25.0
29,1101,2025-08-01T17:26:00,4655,SALMON;MEATBALLS,24.44
30,1101,2025-08-01T15:59:00,5232,SALMON;MEATBALLS;KIDS,33.24
31,1101,2025-08-01T14:56:00,3731,COFFEE,6.06
32,1101,2025-08-01T14:51:00,4103,SALMON,7.23
33,1101,2025-08-01T16:36:00,5201,VEG_BALLS,6.5
34,1101,2025-08-01T15:59:00,3777,SALMON,12.35
35,1101,2025-08-01T16:40:00,3170,KIDS,10.41
36,1101,2025-08-01T14:30:00,4703,VEG_BALLS;COFFEE;KIDS,15.3
37,1101,2025-08-01T15:10:00,568,VEG_BALLS,27.39
38,1101,2025-08-01T12:04:00,5702,KIDS,25.78
39,1101,2025-08-01T17:43:00,779,MEATBALLS,12.73
40,1101,2025-08-01T14:05:00,5943,VEG_BALLS,24.06
41,1101,2025-08-01T16:21:00,4536,SALMON,25.51
42,1101,2025-08-01T15:02:00,1017,MEATBALLS,32.93
43,1101,2025-08-01T16:12:00,4792,SALMON,11.66
44,1101,2025-08-01T10:50:00,4614,VEG_BALLS;COFFEE,22.61
45,1101,2025-08-01T15:54:00,4135,SALMON,16.33
46,1101,2025-08-01T16:03:00,1602,COFFEE,29.58
47,1101,2025-08-01T16:33:00,4975,CINNAMON_BUN;VEG_BALLS;VEG_BALLS,14.53
